company_id,shareholder_id,shareholder_percent
185,405,100
713,833,100
658,70,78
581,7,100
554,484,100
102,21,100
367,538,100
287,981,67
2,120,100
683,891,100
97,960,100
973,939,100
737,979,100
172,232,100
134,810,19
152,525,39
12,415,50
327,532,100
507,501,100
202,784,100
371,928,62
41,422,100
437,399,99
192,244,61
608,985,6
26,839,100
817,764,100
998,82,27
770,576,100
171,2,100
596,94,100
681,605,100
987,577,100
654,371,6.75
868,925,98
402,32,96
711,749,100
345,327,77
415,531,100
749,221,100
729,854,100
337,827,51
950,479,2
926,501,100
214,108,42
912,178,100
480,484,75
560,107,100
830,528,100
147,837,21
409,317,83
445,301,100
936,65,100
443,666,100
29,690,78
100,747,100
698,84,45
64,511,26
753,52,100
61,644,100
742,111,100
847,770,100
211,904,100
215,283,100
643,908,100
207,465,100
286,423,69
849,721,93
781,479,100
303,785,52
248,301,1.470588235
163,150,10.57627119
37,750,55
184,293,38
689,729,100
370,697,100
138,388,100
428,119,100
516,177,28
294,5,50
56,436,100
911,116,100
330,122,100
30,118,100
139,205,100
31,377,6
403,372,100
329,256,100
811,380,100
886,247,100
20,793,100
950,781,98
425,736,100
147,574,79
585,908,100
863,20,100
95,981,100
791,428,100
953,471,100
925,51,86
249,640,11
881,631,100
422,110,100
496,249,100
340,961,100
342,588,100
879,558,39
745,25,22
816,2,47
169,376,88
637,699,42
438,428,86
96,60,98
623,770,100
580,778,100
174,941,100
109,830,100
438,552,4.383838384
862,731,100
787,194,16.85135135
879,26,61
778,682,21
57,675,100
930,720,96
517,985,34
654,52,91
385,148,100
181,410,9
181,277,91
53,783,100
503,287,100
437,182,0.506578947
154,867,100
751,463,100
309,811,45
884,122,100
468,321,100
539,349,100
398,827,100
906,768,94
659,267,51
977,84,69
789,903,17.64705882
165,277,60
273,837,100
393,684,100
675,533,100
708,958,100
772,979,14
225,197,100
122,160,92
658,676,3.069767442
513,559,100
127,524,6.865168539
778,480,79
157,897,100
613,619,100
163,533,28.42372881
738,965,100
390,945,100
716,742,100
325,771,73
835,144,34
409,557,17
934,673,100
564,994,29
517,224,66
563,586,12
745,664,78
464,580,100
951,270,100
502,672,100
